Id,Warehouse Block,Mode Of Shipment,Customer Care Calls,Customer Rating,Cost Of The Product,Prior Purchases,Product Importance,Gender,Discount Offered,Weight In Gms,On-Time Delivery,Net Price,Discount Ratio,Status By Mode Of Shipment
1,D,Flight,4,2,177,3,0,F,44,1233,1,133,0.25,0.6
2,F,Flight,4,5,216,2,0,M,59,3088,1,157,0.27,0.6
3,A,Flight,2,2,183,4,0,M,48,3374,1,135,0.26,0.6
4,B,Flight,3,3,176,4,1,M,10,1177,1,166,0.06,0.6
5,C,Flight,2,2,184,3,1,F,46,2484,1,138,0.25,0.6
6,F,Flight,3,1,162,3,1,F,12,1417,1,150,0.07,0.6
7,D,Flight,3,4,250,3,0,F,3,2371,1,247,0.01,0.6
8,F,Flight,4,1,233,2,0,F,48,2804,1,185,0.21,0.6
9,A,Flight,3,4,150,3,0,F,11,1861,1,139,0.07,0.6
10,B,Flight,3,2,164,3,1,F,29,1187,1,135,0.18,0.6
11,C,Flight,3,4,189,2,1,M,12,2888,1,177,0.06,0.6
12,F,Flight,4,5,232,3,1,F,32,3253,1,200,0.14,0.6
13,D,Flight,3,5,198,3,1,F,1,3667,1,197,0.01,0.6
14,F,Flight,4,4,275,3,2,M,29,2602,1,246,0.11,0.6
15,A,Flight,4,3,152,3,0,M,43,1009,1,109,0.28,0.6
16,B,Flight,4,3,227,3,0,F,45,2707,1,182,0.2,0.6
17,C,Flight,3,4,143,2,1,F,6,1194,1,137,0.04,0.6
18,F,Ship,5,5,227,3,1,M,36,3952,1,191,0.16,0.6
19,D,Ship,5,5,239,3,2,M,18,2495,1,221,0.08,0.6
20,F,Ship,4,5,145,3,1,M,45,1059,1,100,0.31,0.6
21,A,Ship,3,3,161,2,1,F,38,1521,1,123,0.24,0.6
22,B,Ship,3,1,232,4,1,F,51,2899,1,181,0.22,0.6
23,C,Ship,2,5,156,2,0,M,2,1750,1,154,0.01,0.6
24,F,Ship,4,3,211,3,2,M,12,3922,1,199,0.06,0.6
25,D,Ship,4,5,251,2,1,F,28,3561,1,223,0.11,0.6
26,F,Ship,3,1,225,4,0,M,29,3496,1,196,0.13,0.6
27,A,Ship,4,1,172,3,2,F,24,1066,1,148,0.14,0.6
28,B,Ship,5,1,162,3,1,M,31,1435,1,131,0.19,0.6
29,C,Ship,2,3,234,4,0,M,44,3134,1,190,0.19,0.6
30,F,Ship,5,4,183,2,0,F,36,3819,1,147,0.2,0.6
31,D,Ship,3,4,266,2,1,F,38,2741,1,228,0.14,0.6
32,F,Ship,5,3,257,2,0,F,61,3341,1,196,0.24,0.6
33,A,Ship,3,1,223,3,0,F,22,3795,1,201,0.1,0.6
34,B,Ship,4,2,234,3,1,M,4,3261,1,230,0.02,0.6
35,C,Ship,4,2,227,4,1,F,22,2460,1,205,0.1,0.6
36,F,Ship,5,4,149,3,1,F,44,1811,1,105,0.3,0.6
37,D,Ship,3,5,137,4,2,F,62,1477,1,75,0.45,0.6
38,F,Ship,2,4,181,6,1,F,16,3605,1,165,0.09,0.6
39,A,Ship,5,1,215,4,0,F,56,3905,1,159,0.26,0.6
40,B,Ship,4,2,269,5,0,F,45,2383,1,224,0.17,0.6
41,C,Ship,5,1,227,2,0,M,15,3798,1,212,0.07,0.6
42,F,Ship,5,5,139,4,1,M,61,1265,1,78,0.44,0.6
43,D,Ship,3,5,137,2,1,M,38,1647,1,99,0.28,0.6
44,F,Ship,3,1,174,2,0,M,44,1556,1,130,0.25,0.6
45,A,Ship,3,1,151,2,0,M,29,1328,1,122,0.19,0.6
46,B,Ship,5,1,210,3,0,F,9,2944,1,201,0.04,0.6
47,C,Ship,3,4,169,4,1,F,32,1245,1,137,0.19,0.6
48,F,Ship,5,1,160,2,0,M,32,1576,1,128,0.2,0.6
49,D,Ship,5,4,190,2,1,M,9,3753,1,181,0.05,0.6
50,F,Ship,5,3,216,3,0,F,40,2146,1,176,0.19,0.6
51,A,Ship,4,1,183,3,0,M,37,2042,1,146,0.2,0.6
52,B,Ship,4,4,141,3,0,M,22,1735,1,119,0.16,0.6
53,C,Ship,4,3,165,3,0,F,44,1320,1,121,0.27,0.6
54,F,Ship,2,1,170,3,0,M,41,1128,1,129,0.24,0.6
55,D,Ship,4,3,203,3,2,M,12,3539,1,191,0.06,0.6
56,F,Ship,2,5,246,5,0,M,46,2437,1,200,0.19,0.6
57,A,Ship,3,3,238,3,0,F,61,3096,1,177,0.26,0.6
58,B,Ship,3,3,193,3,1,F,29,3453,1,164,0.15,0.6
59,C,Ship,5,5,141,3,2,M,41,1367,1,100,0.29,0.6
60,F,Ship,4,1,150,3,2,F,17,1923,1,133,0.11,0.6
